distance [m],elevation [m] 
282000,1102.901482
278000,1101.901482
274500,1101.901482
271000,1100.901482
267000,1100.901482
265000,1099.901482
263000,1099.901482
260500,1099.901482
258000,1099.901482
255500,1099.901482
252000,1099.901482
248500,1099.901482
245500,1099.901482
243000,1100.901482
240500,1094.901482
238750,1087.901482
237000,1087.901482
235750,1073.901482
234500,1072.901482
233500,1068.901482
232500,1068.901482
230500,1063.901482
228000,1059.901482
226000,1057.901482
221500,1053.901482
218750,1052.901482
215750,1047.901482
213000,1045.901482
210500,1044.901482
207500,1043.901482
205250,1036.901482
203250,1034.901482
201250,1034.901482
199000,1034.901482
197000,1033.901482
195000,1033.901482
192000,1032.901482
189500,1032.901482
187500,1032.901482
184500,1032.901482
181500,1029.901482
179000,1028.901482
176000,1029.901482
173500,1026.901482
170500,1026.901482
168500,1026.901482
165000,1022.901482
162250,1021.901482
159250,1019.901482
157250,1019.901482
155250,1016.901482
153250,1013.901482
151250,1012.901482
149250,1011.901482
146750,1008.901482
143750,1004.901482
140500,1004.901482
138000,1004.901482
134750,1004.901482
132000,1003.901482
129000,1001.901482
127000,1000.901482
125000,1000.901482
123000,999.901482
120000,999.901482
117000,999.901482
115000,999.901482
113000,999.901482
110500,999.901482
107750,999.901482
105750,999.901482
103500,1000.901482
101250,1000.901482
99250,998.901482
97000,997.901482
94250,996.901482
91750,995.901482
89500,994.901482
87000,992.901482
85000,992.901482
82500,988.901482
80000,988.901482
77500,988.901482
74500,986.901482
72000,985.901482
67500,983.901482
65500,982.901482
63500,982.901482
61000,983.901482
58500,982.901482
56500,982.901482
53000,982.901482
51000,979.901482
49000,978.901482
47000,976.901482
44000,976.901482
41000,975.901482
38500,974.901482
36500,974.901482
34000,973.901482
32500,973.901482
30000,973.901482
27750,972.901482
25250,972.901482
23250,972.901482
21000,972.901482
19000,972.901482
17000,974.901482
15000,979.901482
12750,975.901482
9750,973.901482
8250,972.901482
6750,973.901482
5250,973.901482
3000,972.901482
1500,973.901482
0,972.901482
